"price","year","manufacturer","make","fuel","miles","title_status","transmission","drive","type","paint_color"
2957,2007,"hyundai","accent","gas",106000,"clean","manual","rwd","compact","black"
2772,2004,"opel","zafira","diesel",168000,"clean","manual","4wd","compact","black"
8138,2010,"seat","exeo","diesel",172500,"clean","manual","4wd","compact","black"
4067,2006,"fiat","croma","diesel",127000,"clean","manual","4wd","compact","black"
921,1999,"mazda","323","diesel",36000,"clean","manual","rwd","compact","black"
1665,1998,"audi","a3","gas",145000,"clean","manual","rwd","compact","black"
424,1996,"audi","a4","gas",206000,"clean","manual","4wd","compact","black"
14803,2010,"jeep","grand-cherokee","gas",129000,"clean","manual","rwd","compact","black"
2553,2005,"skoda","fabia","diesel",100,"clean","manual","rwd","compact","black"
3515,2003,"ford","c-max","gas",97197,"clean","manual","4wd","compact","black"
20355,2009,"bmw","x6","gas",109400,"clean","manual","fwd","compact","black"
2516,2005,"ford","transit","gas",264000,"clean","manual","rwd","compact","black"
5736,2007,"suzuki","sx4","diesel",134000,"clean","manual","rwd","compact","black"
4404,2007,"seat","ibiza","gas",115000,"clean","manual","4wd","compact","black"
1106,1600,"citroen","berlingo","gas",160000,"clean","manual","rwd","compact","black"
2183,2003,"skoda","fabia","gas",183000,"rebuilt","manual","fwd","compact","black"
3878,2004,"skoda","fabia","diesel",133599,"clean","manual","rwd","compact","black"
4803,2005,"skoda","octavia","gas",145000,"rebuilt","manual","fwd","compact","black"
3108,2005,"skoda","fabia","gas",86000,"clean","manual","4wd","compact","black"
7772,2009,"skoda","octavia","gas",195000,"rebuilt","manual","fwd","compact","black"
2553,2003,"nissan","almera","gas",105000,"clean","manual","4wd","compact","black"
3293,2005,"citroen","c4","gas",148000,"clean","manual","rwd","compact","black"
1221,1996,"seat","ibiza","gas",257000,"clean","manual","rwd","compact","black"
3145,327,"skoda","octavia","gas",182000,"clean","manual","fwd","compact","black"
3293,2005,"skoda","fabia","gas",96000,"clean","manual","rwd","compact","black"
2142,2001,"ford","mondeo","gas",133200,"rebuilt","manual","fwd","compact","black"
4252,2006,"ford","focus","gas",120060,"clean","manual","4wd","compact","black"
12546,2013,"skoda","octavia","gas",63000,"clean","manual","rwd","compact","black"
2923,2000,"rover","100","gas",100,"clean","manual","4wd","compact","black"
1106,1440,"opel","corsa","gas",144000,"clean","manual","fwd","compact","black"
13249,2011,"skoda","superb","diesel",107025,"rebuilt","manual","fwd","compact","black"
1443,2000,"nissan","almera","diesel",230000,"clean","manual","4wd","compact","black"
6994,2006,"audi","200","gas",5100,"clean","manual","rwd","compact","black"
10732,2010,"skoda","superb","gas",182000,"rebuilt","manual","fwd","compact","black"
11065,2011,"volvo","s60","gas",183000,"clean","manual","4wd","compact","black"
3515,2003,"skoda","fabia","gas",88000,"rebuilt","manual","fwd","compact","black"
740,1999,"skoda","felicia","gas",242000,"clean","manual","4wd","compact","black"
924,2006,"fiat","seicento","gas",150000,"rebuilt","manual","fwd","compact","black"
